8528;0; 
8529;1; 
8530;2; 
8531;3; 
8532;4;Emergency Stop
8533;5;Drop the prime air for drive
8534;6;Drop the prime air for blow
8535;7;Open the door at left
8536;8;Open the door at  center
8537;9;Open the door at right
8538;10;Master module of the CC-Link is abnormal
8539;11;Slave station of the PLC is abnormal
8540;12;Module of the PLC is Abnormal
8541;13; 
8542;14;Motor of hydraulic pump is overload
8543;15;Robot of the parretizing robot is abnormal
8544;0;Battery of the parretizing robot is life
8545;1;Battery of the PLC is life
8546;2;Robot of the carrier is abnormal
8547;3;Battery of the carrier robot is life
8548;4; 
8549;5; 
8550;6;Machine does not work
8551;7;Can't move the home position
8552;8;1ST:Can't slide the plate to back
8553;9;1ST:Can't slide the plate to fwd.
8554;10;1ST:LS of sliding unit is abnormal
8555;11;1ST:Can't match a pattern
8556;12;1ST:Not a plate to suplly
8557;13;1ST:Pattern sensor is burnout
8558;14;1ST:Parts not alive in feeder
8559;15;1ST:Thickness measurement is fail
8560;0;1ST:Measurement is time out
8561;1;1ST Abnormal plate position, 1ST:Can't slide the plate to fwd.
8562;2;2ND:Can't turn the plate to right side
8563;3;2ND:Can't turn the plate to left side
8564;4;2ND:Can't slide parts to left side
8565;5;2ND:Can't slide parts to right side
8566;6;2ND:Can't down the chucking unit
8567;7;2ND:Can't up the chucking unit
8568;8;2ND:Chucking miss of the body
8569;9;2ND:Can't chuck the body
8570;10;2ND:Can't back the hand
8571;11;2ND:Can't forward the hand
8572;12;2ND:LS of the rotater is abnormal
8573;13;2ND:LS of the slider is abnormal
8574;14;2ND:LS of the up & down hand is abnormal
8575;15;2ND:LS of the open & close hand is abnl
8576;0;2ND:LS of fwd. & back unit is abnormal
8577;1;2ND:Sensor of the work is abnormal
8578;2; 
8579;3;2ND:No suplly parts
8580;4;2ND:Parts not alive in feeder
8581;5; 
8582;6;3RD:Can't down the press unit
8583;7;3RD:Can't up the press unit
8584;8;3RD:LS of the press-fit is abnormal
8585;9;3RD:Sensor of the work is abnormal
8586;10; 
8587;11;3RD:Fail continue
8588;12;3RD:can't press-fit the body
8589;13;3RD:Judge sensor of height is abnormal
8590;14;2ND:Can't turn the plate to left side
8591;15; 
8592;0;4TH:Can't turn the work at left
8593;1;4TH:Can't turn the work at right
8594;2;4TH:LS of the work turner is abnormal
8595;3;4TH:Sensor of the work is abnormal
8596;4;5TH:Can't back the punchout
8597;5;5TH:Can't foward the punchout
8598;6;5TH:LS of the knockout is abnormal
8599;7;5TH:LS of the locating is abnormal
8600;8;5TH:LS of the unit shift is abnormal
8601;9;5TH:LS of the punchout is abnormal
8602;10;5TH:Can't down the work clamp
8603;11;5TH:Can't up the work clamp
8604;12;5TH:LS of the clamp is abnormal
8605;13;5TH:Can't down the knockout
8606;14;5TH:Can't up the knockout
8607;15;5TH:Sensor of the work is abnormal
8608;0;5TH:Can't locate to foward
8609;1;5TH:Can't locarte to back
8610;2;5TH:Can't shift the unit at left
8611;3;5TH:Can't shift the unit at right
8612;4;7TH:Can't down the work clamp
8613;5;7TH:Can't up the work clamp
8614;6;7TH:Can't down the drill unit
8615;7;7TH:Can't up the drill unit
8616;8;7TH:LS of the work clamp is abnormal
